227, COF2PzD1,0.702,0.081
228, COF3F4D1,0.859,0.669
229, COF3C3D1,0.068,0.609
230, COF3C4D1,0.928,0.503
231, COF3P3D1,0.929,0.386
232, COF3P4D1,1.188,0.320
233, COF3O1D1,1.168,0.148
234, COF3O2D1,1.454,0.159
235, COF3F7D1,1.318,0.747
236, COF3F8D1,1.166,0.402
237, COF3T3D1,0.481,0.399
238, COF3T4D1,1.294,0.309
239, COF3T5D1,1.073,0.209
240, COF3T6D1,1.597,0.214
241, COF3FzD1,-0.255,0.687
242, COF3CzD1,0.574,0.536
243, COF3PzD1,0.697,0.269
244, COF4C3D1,0.774,0.492
245, COF4C4D1,0.791,0.675
246, COF4P3D1,1.123,0.319
247, COF4P4D1,1.201,0.381
248, COF4O1D1,1.146,0.128
249, COF4O2D1,1.457,0.182
250, COF4F7D1,0.918,0.360
251, COF4F8D1,0.357,0.528
252, COF4T3D1,0.683,0.180
253, COF4T4D1,0.933,0.451
254, COF4T5D1,1.267,0.173
255, COF4T6D1,1.690,0.320
256, COF4FzD1,1.862,0.918
257, COF4CzD1,1.069,0.626
258, COF4PzD1,0.643,0.268
259, COC3C4D1,1.883,0.747
260, COC3P3D1,2.616,0.868
261, COC3P4D1,2.123,0.696
262, COC3O1D1,1.424,0.440
263, COC3O2D1,1.428,0.357
264, COC3F7D1,0.374,0.283
265, COC3F8D1,1.148,0.257
266, COC3T3D1,0.631,0.498
267, COC3T4D1,1.628,0.486
268, COC3T5D1,1.745,0.612
269, COC3T6D1,1.824,0.489
270, COC3FzD1,0.162,0.469
271, COC3CzD1,1.295,0.804
272, COC3PzD1,1.782,0.730
273, COC4P3D1,1.795,0.662
274, COC4P4D1,1.799,0.784
275, COC4O1D1,1.243,0.343
276, COC4O2D1,1.270,0.360
277, COC4F7D1,1.040,0.215
278, COC4F8D1,1.092,0.443
279, COC4T3D1,1.066,0.271
280, COC4T4D1,1.716,0.725
281, COC4T5D1,1.529,0.419
282, COC4T6D1,1.792,0.641
283, COC4FzD1,1.276,0.624
284, COC4CzD1,2.008,0.848
285, COC4PzD1,1.190,0.626
286, COP3P4D1,1.470,0.795
287, COP3O1D1,0.614,0.657
288, COP3O2D1,0.692,0.515
289, COP3F7D1,0.693,0.144
290, COP3F8D1,1.442,0.178
291, COP3T3D1,0.988,0.408
292, COP3T4D1,1.825,0.434
293, COP3T5D1,1.081,0.765
294, COP3T6D1,1.679,0.588
295, COP3FzD1,0.839,0.286
296, COP3CzD1,1.762,0.700
297, COP3PzD1,1.141,0.896
298, COP4O1D1,1.033,0.597
299, COP4O2D1,0.352,0.613
300, COP4F7D1,1.058,0.119
301, COP4F8D1,1.619,0.322
302, COP4T3D1,1.217,0.262
303, COP4T4D1,1.607,0.599
304, COP4T5D1,1.711,0.608
305, COP4T6D1,1.780,0.819
306, COP4FzD1,1.164,0.330
307, COP4CzD1,2.247,0.720
308, COP4PzD1,1.115,0.875
309, COO1O2D1,0.439,0.740
310, COO1F7D1,0.416,0.050
311, COO1F8D1,0.563,0.065
312, COO1T3D1,1.164,0.193
313, COO1T4D1,1.589,0.194
314, COO1T5D1,0.884,0.721
315, COO1T6D1,1.246,0.561
316, COO1FzD1,1.251,0.119
317, COO1CzD1,1.487,0.389
318, COO1PzD1,1.317,0.706
319, COO2F7D1,0.546,0.061
320, COO2F8D1,1.285,0.156
321, COO2T3D1,1.284,0.166
322, COO2T4D1,1.687,0.277
323, COO2T5D1,0.990,0.532
324, COO2T6D1,0.413,0.668
325, COO2FzD1,1.552,0.168
326, COO2CzD1,1.526,0.379
327, COO2PzD1,0.851,0.613
328, COF7F8D1,1.145,0.340
329, COF7T3D1,0.053,0.382
330, COF7T4D1,1.095,0.157
331, COF7T5D1,0.420,0.070
332, COF7T6D1,0.653,0.077
333, COF7FzD1,0.503,0.388
334, COF7CzD1,0.833,0.223
335, COF7PzD1,0.719,0.083
336, COF8T3D1,0.549,0.067
337, COF8T4D1,0.721,0.491
338, COF8T5D1,0.799,0.083
339, COF8T6D1,1.909,0.275
340, COF8FzD1,0.919,0.417
341, COF8CzD1,1.252,0.327
342, COF8PzD1,1.535,0.192
343, COT3T4D1,1.043,0.202
344, COT3T5D1,1.135,0.487
345, COT3T6D1,1.348,0.184
346, COT3FzD1,0.249,0.201
347, COT3CzD1,0.772,0.260
348, COT3PzD1,1.094,0.258
349, COT4T5D1,1.765,0.259
350, COT4T6D1,1.703,0.609
351, COT4FzD1,1.272,0.382
352, COT4CzD1,1.958,0.565
353, COT4PzD1,1.614,0.433
354, COT5T6D1,1.899,0.570
355, COT5FzD1,1.117,0.146
356, COT5CzD1,1.520,0.410
357, COT5PzD1,1.674,0.675
358, COT6FzD1,1.810,0.267
359, COT6CzD1,2.056,0.531
360, COT6PzD1,1.871,0.677
361, COFzCzD1,0.818,0.638
362, COFzPzD1,0.752,0.229
363, COCzPzD1,1.055,0.676
364,  COF1F2D,0.118,0.750
365,  COF1F3D,0.050,0.477
366,  COF1F4D,0.283,0.386
367,  COF1C3D,-0.095,0.158
368,  COF1C4D,0.353,0.153
369,  COF1P3D,0.533,0.086
370,  COF1P4D,0.632,0.062
371,  COF1O1D,0.624,0.032
372,  COF1O2D,0.007,0.013
373,  COF1F7D,0.321,0.599
374,  COF1F8D,0.366,0.320
375,  COF1T3D,0.434,0.150
376,  COF1T4D,0.423,0.068
377,  COF1T5D,0.960,0.057
378,  COF1T6D,0.215,0.019
379,  COF1FzD,-0.532,0.347
380,  COF1CzD,-0.125,0.128
381,  COF1PzD,0.385,0.069
382,  COF2F3D,0.206,0.378
383,  COF2F4D,-0.039,0.479
384,  COF2C3D,0.052,0.122
385,  COF2C4D,0.070,0.186
386,  COF2P3D,0.614,0.071
387,  COF2P4D,0.534,0.074
388,  COF2O1D,0.818,0.039
389,  COF2O2D,0.382,0.025
390,  COF2F7D,0.903,0.433
391,  COF2F8D,0.314,0.568
392,  COF2T3D,0.466,0.069
393,  COF2T4D,0.206,0.139
394,  COF2T5D,0.511,0.034
395,  COF2T6D,0.403,0.029
396,  COF2FzD,-0.199,0.395
397,  COF2CzD,-0.083,0.137
398,  COF2PzD,0.430,0.070
399,  COF3F4D,1.287,0.729
400,  COF3C3D,0.569,0.695
401,  COF3C4D,1.190,0.531
402,  COF3P3D,1.507,0.450
403,  COF3P4D,1.389,0.344
404,  COF3O1D,1.506,0.197
405,  COF3O2D,1.867,0.179
406,  COF3F7D,1.102,0.684
407,  COF3F8D,0.956,0.329
408,  COF3T3D,0.494,0.368
409,  COF3T4D,0.754,0.177
410,  COF3T5D,1.252,0.253
411,  COF3T6D,1.337,0.146
412,  COF3FzD,-0.064,0.762
